TEAM;GROUP;SPI;OFF.;DEF.;"1ST
PLACE";"2ND
PLACE";"MAKE
ROUND OF 16";"MAKE QUARTER-
FINALS";"MAKE
SEMI-FINALS";"MAKE
FINAL";"WIN
WORLD CUP";por;code
"
Brazil";G;93.5;3.2;0.3;72;19;91;69;46;32;22.1;22.1 %;br
"
Spain";E;89.5;2.8;0.4;47;34;81;56;30;19;11.3;11.3 %;es
"
France";D;87.7;2.8;0.5;55;27;83;54;33;17;9.8;9.8 %;fr
"
Argentina";C;87.2;2.6;0.4;60;24;84;53;33;16;8.9;8.9 %;ar
"
Portugal";H;87.8;2.8;0.5;53;28;81;46;26;15;8.1;8.1 %;pt
"
Germany";E;88.8;3.2;0.6;40;36;76;50;25;14;7.8;7.8 %;de
"
England";B;86.0;2.6;0.5;55;25;80;52;29;15;7.2;7.2 %;gb
"
Netherlands";A;86.0;2.8;0.6;53;26;79;49;27;12;6.3;6.3 %;nl
"
Denmark";D;80.0;2.3;0.6;29;36;65;33;17;7;3.4;3.4 %;dk
"
Uruguay";H;80.9;2.3;0.5;30;35;65;28;13;7;3.9;3.9 %;uy
"
Belgium";F;82.5;2.6;0.7;36;27;62;27;12;6;3.5;3.5 %;be
"
Croatia";F;78.8;2.3;0.7;28;27;54;21;9;4;2.2;2.2 %;hr
"
Switzerland";G;77.6;2.2;0.7;13;34;48;21;9;4;1;1;ch
"
USA";B;74.8;2.1;0.7;22;31;53;24;10;4;1;1;us
"
Mexico";C;74.3;2.0;0.7;21;33;54;22;10;3;1;1;mx
"
Senegal";A;73.8;1.9;0.6;21;30;51;23;10;3;1;1;sn
"
Ecuador";A;72.7;2.0;0.7;19;29;48;21;8;3;1;1;ec
"
Morocco";F;75.6;2.1;0.7;21;25;46;17;6;3;1;1;mr
"
Serbia";G;75.8;2.2;0.7;11;30;41;17;7;3;1;1;sb
"
Japan";E;71.4;2.0;0.8;11;23;34;16;6;2;1;1;jp
"
Canada";F;71.6;1.9;0.7;15;21;37;11;4;2;1;1;ca
"
Poland";C;68.3;1.9;0.8;13;25;38;13;5;1;1;1;pl
"
South Korea";H;66.1;1.7;0.8;12;24;36;11;4;1;1;1;sk
"
Tunisia";D;65.9;1.6;0.7;10;21;31;11;4;1;1;1;tn
"
Iran";B;62.2;1.5;0.8;12;23;34;13;4;1;1;1;ir
"
Wales";B;65.6;1.7;0.8;11;22;32;12;4;1;1;1;ga
"
Cameroon";G;64.2;1.7;0.8;4;16;20;6;2;1;1;1;cm
"
Saudi Arabia";C;56.9;1.5;1.0;7;17;24;7;2;1;1;1;sa
"
Australia";D;60.8;1.6;0.9;6;16;22;7;2;1;1;1;au
"
Qatar";A;51.0;1.6;1.3;7;15;22;7;2;1;1;1;qa
"
Ghana";H;58.6;1.4;0.9;5;13;18;4;1;1;1;1;gh
"
Costa Rica";E;55.5;1.4;1.0;2;7;8;2;1;1;1;1;cr